term_str,n,n_chars,p,i,max_pos,max_pos_group,stem_porter,stop,dfidf
1,2,1,9.65362783333977e-06,16.660497360248794,CD,CD,1,0,3.169925001442312
10k,2,3,9.65362783333977e-06,16.660497360248794,CD,CD,10k,0,2.584962500721156
1k,1,2,4.826813916669885e-06,17.660497360248794,CD,CD,1k,0,2.584962500721156
1s,1,2,4.826813916669885e-06,17.660497360248794,CD,CD,1s,0,2.584962500721156
2,3,1,1.4480441750009651e-05,16.07553485952764,CD,CD,2,0,3.0
220kid,1,6,4.826813916669885e-06,17.660497360248794,CD,CD,220kid,0,2.584962500721156
22nd,1,4,4.826813916669885e-06,17.660497360248794,CD,CD,22nd,0,2.584962500721156
2g,1,2,4.826813916669885e-06,17.660497360248794,CD,CD,2g,0,2.584962500721156
2k,3,2,1.4480441750009651e-05,16.07553485952764,CD,CD,2k,0,2.584962500721156
3,2,1,9.65362783333977e-06,16.660497360248794,CD,CD,3,0,2.584962500721156
4,2,1,9.65362783333977e-06,16.660497360248794,CD,CD,4,0,2.584962500721156
44,1,2,4.826813916669885e-06,17.660497360248794,CD,CD,44,0,2.584962500721156
4l,2,2,9.65362783333977e-06,16.660497360248794,CD,CD,4l,0,2.584962500721156
5,1,1,4.826813916669885e-06,17.660497360248794,CD,CD,5,0,2.584962500721156
5foot,1,5,4.826813916669885e-06,17.660497360248794,JJ,JJ,5foot,0,2.584962500721156
5s,1,2,4.826813916669885e-06,17.660497360248794,CD,CD,5s,0,2.584962500721156
6,2,1,9.65362783333977e-06,16.660497360248794,CD,CD,6,0,3.169925001442312
6lack,1,5,4.826813916669885e-06,17.660497360248794,CD,CD,6lack,0,2.584962500721156
7,3,1,1.4480441750009651e-05,16.07553485952764,CD,CD,7,0,3.169925001442312
7th,1,3,4.826813916669885e-06,17.660497360248794,CD,CD,7th,0,2.584962500721156
80s,3,3,1.4480441750009651e-05,16.07553485952764,NNS,NN,80,0,2.584962500721156
8th,1,3,4.826813916669885e-06,17.660497360248794,CD,CD,8th,0,2.584962500721156
9,4,1,1.930725566667954e-05,15.660497360248796,CD,CD,9,0,3.0
90s,1,3,4.826813916669885e-06,17.660497360248794,NNS,NN,90,0,2.584962500721156
a,3855,1,0.0186073676487624,5.747982215446398,DT,DT,a,1,0.0
a7s,1,3,4.826813916669885e-06,17.660497360248794,NNP,NN,a7,0,2.584962500721156
aaaah,12,5,5.792176700003861e-05,14.07553485952764,NN,NN,aaaah,0,2.584962500721156
aaall,4,5,1.930725566667954e-05,15.660497360248796,NN,NN,aaall,0,2.584962500721156
aah,42,3,0.0002027261845001,12.268179937470034,NN,NN,aah,0,3.0
aaliyah,1,7,4.826813916669885e-06,17.660497360248794,NNP,NN,aaliyah,0,2.584962500721156
abandon,1,7,4.826813916669885e-06,17.660497360248794,NN,NN,abandon,0,2.584962500721156
abandoned,1,9,4.826813916669885e-06,17.660497360248794,JJ,JJ,abandon,0,2.584962500721156
abba,1,4,4.826813916669885e-06,17.660497360248794,NN,NN,abba,0,2.584962500721156
abc,10,3,4.826813916669885e-05,14.338569265361432,JJ,JJ,abc,0,3.169925001442312
abcde,5,5,2.4134069583349424e-05,15.338569265361432,JJ,JJ,abcd,0,2.584962500721156
abide,2,5,9.65362783333977e-06,16.660497360248794,IN,IN,abid,0,2.584962500721156
ability,1,7,4.826813916669885e-06,17.660497360248794,NN,NN,abil,0,2.584962500721156
ablaze,4,6,1.930725566667954e-05,15.660497360248796,NN,NN,ablaz,0,3.169925001442312
able,6,4,2.8960883500019303e-05,15.07553485952764,JJ,JJ,abl,0,3.169925001442312
abortion,1,8,4.826813916669885e-06,17.660497360248794,NN,NN,abort,0,2.584962500721156
about,249,5,0.0012018766652508,9.700495428180714,IN,IN,about,1,0.0
above,59,5,0.0002847820210835,11.777854310886951,IN,IN,abov,1,0.0
abracadabra,1,11,4.826813916669885e-06,17.660497360248794,VB,VB,abracadabra,0,2.584962500721156
absence,2,7,9.65362783333977e-06,16.660497360248794,NN,NN,absenc,0,3.169925001442312
absolutely,2,10,9.65362783333977e-06,16.660497360248794,RB,RB,absolut,0,2.584962500721156
