term_str,dfidf
1,3.169925001442312
10k,2.584962500721156
1k,2.584962500721156
1s,2.584962500721156
2,3.0
220kid,2.584962500721156
22nd,2.584962500721156
2g,2.584962500721156
2k,2.584962500721156
3,2.584962500721156
4,2.584962500721156
44,2.584962500721156
4l,2.584962500721156
5,2.584962500721156
5foot,2.584962500721156
5s,2.584962500721156
6,3.169925001442312
6lack,2.584962500721156
7,3.169925001442312
7th,2.584962500721156
80s,2.584962500721156
8th,2.584962500721156
9,3.0
90s,2.584962500721156
a,0.0
a7s,2.584962500721156
aaaah,2.584962500721156
aaall,2.584962500721156
aah,3.0
aaliyah,2.584962500721156
abandon,2.584962500721156
abandoned,2.584962500721156
abba,2.584962500721156
abc,3.169925001442312
abcde,2.584962500721156
abide,2.584962500721156
ability,2.584962500721156
ablaze,3.169925001442312
able,3.169925001442312
abortion,2.584962500721156
about,0.0
above,0.0
abracadabra,2.584962500721156
absence,3.169925001442312
absolutely,2.584962500721156
aburrí,2.584962500721156
abusa,2.584962500721156
abuse,2.584962500721156
abused,2.584962500721156
abusing,2.584962500721156
abyss,3.169925001442312
acaba,2.584962500721156
accelerate,2.584962500721156
accent,3.0
accept,3.169925001442312
accident,2.584962500721156
accidents,2.584962500721156
accusations,2.584962500721156
accuser,2.584962500721156
accustomed,2.584962500721156
ace,2.584962500721156
aces,2.584962500721156
ache,3.169925001442312
aches,2.584962500721156
achieved,2.584962500721156
achilles,2.584962500721156
aching,2.3398500028846247
acknowledge,3.169925001442312
acne,2.584962500721156
acres,2.584962500721156
acrobat,2.584962500721156
acrobats,2.584962500721156
across,0.0
act,0.0
actin,3.0
acting,3.169925001442312
action,2.584962500721156
actor,2.584962500721156
actress,2.584962500721156
acá,2.584962500721156
ad,2.584962500721156
adam,2.584962500721156
add,3.0
addict,2.584962500721156
addicted,2.3398500028846247
addiction,2.584962500721156
adding,2.584962500721156
address,3.169925001442312
adelanto,2.584962500721156
adele,2.584962500721156
adjourned,2.584962500721156
admire,2.584962500721156
admit,3.0
adore,2.584962500721156
adored,2.584962500721156
adrenaline,3.169925001442312
adult,2.584962500721156
advance,2.584962500721156
adventures,2.584962500721156
advice,1.315172029168969
advicе,2.584962500721156
advisory,2.584962500721156
aeroplane,2.584962500721156
aesthetic,2.584962500721156
affair,2.584962500721156
affairs,2.584962500721156
affection,3.169925001442312
affetto,2.584962500721156
affiliate,2.584962500721156
affliction,2.584962500721156
afford,3.0
afghanistan,2.584962500721156
afloat,2.584962500721156
afraid,1.315172029168969
africa,2.584962500721156
afrika,2.584962500721156
afro,2.584962500721156
afrocentric,2.584962500721156
after,0.0
afterglow,2.584962500721156
afternoon,2.3398500028846247
afternoons,2.584962500721156
afterthought,2.584962500721156
aftеr,2.584962500721156
again,0.0
against,2.3398500028846247
age,0.0
agenda,2.584962500721156
ages,3.169925001442312
agility,2.584962500721156
aging,2.584962500721156
ago,0.0
agosto,2.584962500721156
agree,2.584962500721156
agreed,3.169925001442312
agrees,2.584962500721156
agua,2.584962500721156
agunnin,2.584962500721156
ah,0.0
aha,2.584962500721156
ahah,3.169925001442312
ahahah,3.169925001442312
ahahahah,3.0
ahahahahah,3.169925001442312
ahead,0.0
aheaving,2.584962500721156
ahh,3.0
ahha,2.584962500721156
ahhah,2.584962500721156
ahhuh,2.584962500721156
ahold,2.584962500721156
ahooh,3.169925001442312
ahora,3.169925001442312
ahyahyahyahyahyahyahyahoh,2.584962500721156
