decade_id,song_num,doc_str,n_tokens
0,0,heres the thing we started out friends it was cool but it was all pretend yeah yeah since you been gone youre dedicated you took the time wasnt long til i called you mine yeah yeah since you been gone and all youd ever hear me say is how i picture me with you thats all youd ever hear me say but since you been gone i can breathe for the first time im so moving on yeah yeah thanks to you now i get what i want since you been gone how can i put it you put me on i even fell for that stupid love song yeah yeah since you been gone how come id never hear you say i just wanna be with you guess you never felt that way but since you been gone i can breathe for the first time im so moving on yeah yeah thanks to you now i get i get what i want since you been gone you had your chance you blew it out of sight out of mind shut your mouth i just cant take it again and again and again and again since you been gone since you been gone i can breathe for the first time im so moving on yeah yeah thanks to you thanks to you now i get i get what i want i can breathe for the first time im so moving on yeah yeah thanks to you thanks to you now i get i get you should know you should know that i get i get what i want since you been gone since you been gone since you been,279
0,1,sweet disposition never too soon oh reckless abandon like no ones watching you a moment a love a dream aloud a kiss a cry our rights our wrongs a moment a love a moment a love a dream aloud a moment a love a moment a love a dream aloud so stay there cause ill be coming over and while our bloods still young its so young it runs and wont stop til its over wont stop to surrender songs of desperation i played them for you a moment a love a dream aloud a kiss a cry our rights our wrongs a moment a love a moment a love a dream aloud a moment a love a moment a love a dream aloud so stay there cause ill be coming over and while our bloods still young its so young it runs and wont stop til its over wont stop to surrender a moment a love a dream aloud a kiss a cry our rights our wrongs wont stop til its over a moment a love a dream aloud a kiss a cry our rights our wrongs wont stop til its over a moment a love a dream aloud a kiss a cry our rights our wrongs wont stop til its over a moment a love a dream aloud a moment a love a moment a love wont stop to,231
0,2,walking on a dream how can i explain talking to myself will i see again we are always running for the thrill of it thrill of it always pushing up the hill searching for the thrill of it on and on and on we are calling out out again never looking down im just in awe of whats in front of me is it real now two people become one i can feel it two people become one thought id never see the love you found in me now its changing all the time living in a rhythm where the minutes working over time we are always running for the thrill of it thrill of it always pushing up the hill searching for the thrill of it on and on and on we are calling out out again never looking down im just in awe of whats in front of me is it real now two people become one i can feel it two people become one is it real now two people become one i can feel it two people become one catch me im falling down catch me im falling down dont stop just keep going on im your shoulder lean upon so come on deliver from inside all we got is tonight that is right till first light is it real now two people become one i can feel it two people become one is it real now two people become one i can feel it two people become,252
0,3,five four three two one ah you were a child crawlin on your knees toward it makin mama so proud but your voice is too loud we like to watch you laughin you pick the insects off plants no time to think of consequences control yourself take only what you need from it a family of trees wanted to be haunted control yourself take only what you need from it a family of trees wanted to be haunted the water is warm but its sendin me shivers a baby is born cryin out for attention the memories fade like lookin through a fogged mirror decision to decisions are made and not bought but i thought this wouldnt hurt a lot i guess not control yourself take only what you need from it a family of trees wanted to be haunted control yourself take only what you need from it a family of trees wanted to be haunted control yourself take only what you need from it a family of trees wanted to be haunted control yourself take only what you need from it a family of trees wanted to be haunted control yourself take only what you need from it a family of trees wanted to be haunted control yourself take only what you need from it a family of,220
0,4,if i told you things i did before told you how i used to be would you go along with someone like me if you knew my story word for word had all of my history would you go along with someone like me i did before and had my share it didnt lead nowhere i would go along with someone like you it doesnt matter what you did who you were hanging with we could stick around and see this night through and we dont care about the young folks talking bout the young style and we dont care about the old folks talking bout the old style too and we dont care about their own faults talking bout our own style all we care bout is talking talking only me and you usually when things has gone this far people tend to disappear no one will surprise me unless you do i can tell theres something going on hours seems to disappear everyone is leaving im still with you it doesnt matter what we do where we are going too we can stick around and see this night through and we dont care about the young folks talking bout the young style and we dont care about the old folks talking bout the old style too and we dont care about their own faults talking bout our own style all we care bout is talking talking only me and you and we dont care about the young folks talking bout the young style and we dont care about the old folks talking bout the old style too and we dont care about their own faults talking bout our own style all we care bout is talking talking only me and you talking only me and you talking only me and you talking only me and,307
0,5,im not saying it was your fault although you could have done more oh youre so naïve yet so how could this be done by such a smiling sweetheart oh and your sweet and pretty face is such an ugly word for something so beautiful oh that every time i look inside i know she knows that im not fond of asking true or false it may be well shes still out to get me and i know she knows that im not fond of asking true or false it may be shes still out to get me i may say it was your fault because i know you could have done more oh youre so naïve yet so how could this be done by such a smiling sweetheart oh and your sweet and pretty face is such an ugly word for something so beautiful will die every time i look inside i know she knows that im not fond of asking and true or false it may be well shes still out to get me and i know she knows that im not fond of asking true or false it may be shes still out to get me so how could this be done by such a smiling sweetheart oh youre so naïve yet so is such an ugly thing for someone so beautiful ill die every time youre on his side i know she knows that im not fond of asking true or false it may be well shes still out to get me and i know she knows that im not fond of asking true or false it may be shes still out to get me just dont let me down just dont let me down hold on to your kite just dont let me down just dont let me down hold on to your kite hey girl hold on just dont let me down just dont let me down hold on to this kite let it go just dont let me down just dont let me,340
0,6,aye aye aye aye aye aye im holdin on your rope got me ten feet off the ground and im hearin what you say but i just cant make a sound aye aye aye you tell me that you need me then you go and cut me down but wait you tell me that youre sorry didnt think id turn around and say that its too late to apologize its too late aye aye aye i said its too late to apologize its too late aye aye aye yeah aye aye aye id take another chance take a fall take a shot for you oh i need you like a heart needs a beat but its nothin new yeah yeah i loved you with a fire red now its turnin blue and you say sorry like the angel heaven let me think was you but im afraid its too late to apologize its too late aye aye aye i said its too late to apologize its too late aye aye aye woahoohoh aye aye aye aye aye aye its too late to apologize its too late aye aye aye i said its too late to apologize its too late aye aye aye i said its too late to apologize yeah aye aye aye i said its too late to apologize yeah im holdin on your rope got me ten feet off the,232
0,7,sometimes i feel like throwing my hands up in the air i know i can count on you sometimes i feel like saying lord i just dont care but youve got the love i need to see me through sometimes it seems the goin is just too rough and things go wrong no matter what i do now and then it seems that life is just too much but youve got the love i need to see me through when food is gone you are my daily need oh when friends are gone i know my saviours love is real you know its real youve got the love youve got the love youve got the love cause youve got the love youve got the love youve got the love time after time i think oh lord whats the use time after time i think its just no good sooner or later in life the things you love you lose but youve got the love i need to see me through youve got the love youve got the love youve got the love youve got the love youve got the love youve got the love youve got the love youve got the love youve got the love youve got the love youve got the love youve got the love woah oh sometimes i feel like throwing my hands up in the air cause i know i can count on you oh sometimes i feel like saying lord i just dont care but youve got the love i need to see me,260
0,8,ive been roamin around always lookin down at all i see painted faces fill the places i cant reach you know that i could use somebody you know that i could use somebody someone like you and all you know and how you speak countless lovers under cover of the street you know that i could use somebody you know that i could use somebody someone like you off in the night while you live it up im off to sleep wagin wars to shape the poet and the beat i hope its gonna make you notice i hope its gonna make you notice someone like me someone like me someone like me somebody dont let it out dont let it out dont let it out dont let it out dont let it out dont let it out dont let it out someone like you somebody someone like you somebody someone like you somebody ive been roamin around always lookin down at all i,164
0,9,comin out of my cage and ive been doin just fine gotta gotta be down because i want it all it started out with a kiss how did it end up like this it was only a kiss it was only a kiss now im falling asleep and shes calling a cab while hes having a smoke and shes taking a drag now theyre goin to bed and my stomach is sick and its all in my head but shes touching his chest now he takes off her dress now let me go and i just cant look its killing me theyre taking control jealousy turning saints into the sea swimming through sick lullabies choking on your alibis but its just the price i pay destiny is calling me open up my eager eyes cause im mr brightside im comin out of my cage and ive been doin just fine gotta gotta be down because i want it all it started out with a kiss how did it end up like this it was only a kiss it was only a kiss now im falling asleep and shes calling a cab while hes havin a smoke and shes taking a drag now theyre goin to bed and my stomach is sick and its all in my head but shes touching his chest now he takes off her dress now let me go cause i just cant look its killing me theyre taking control jealousy turning saints into the sea swimming through sick lullabies choking on your alibis but its just the price i pay destiny is calling me open up my eager eyes cause im mr brightside i never i never i never i,284
