,PC1,PC2,PC3,PC4,PC5,PC6
summat,0.0034138407142013227,-0.004464307149217116,-3.464096920638967e-06,-0.005264458222881924,-0.0014804096319005772,0.6752731527379265
tape,-0.00453777348049216,-0.0014660659543952988,0.0046377348505544725,-0.00027063254378353657,-0.008855059668792376,-0.31819852064115156
tamed,-0.0005854632467035929,0.0015973061167853125,-0.0074329964664898805,-0.0026296836271002275,-0.0039666774998637295,-0.5381840669695791
tan,0.0004932330882684275,-0.0007973226983422028,-8.034791418900612e-05,0.004280556538909269,0.0029825193927902403,0.07702921385490573
pads,0.0028745553657184824,-0.003405779912631877,-0.00214615574010179,0.002623726982148838,-0.00370339737437422,-0.25190027250923336
extra,-0.00021077344080130706,0.01735034305846999,-0.014676832844845788,-0.002217285162608037,-0.00023150798780432298,-0.0005670662894370677
ey,0.07362617767517218,-0.04406344377882639,-0.028641268098579264,0.07998474472765117,-0.053875963449611756,0.0023628358701973644
coat,-0.004537773480491816,-0.0014660659543954315,0.004637734850555267,-0.00027063254378294926,-0.008855059668792768,-0.0009188939012146248
internet,0.008166247145831713,0.0006972864910775776,0.00303045864391842,0.002269024793823914,0.0026417370339734576,-0.001377721551418713
tap,0.015918393127902167,-0.004470474855046229,-0.0031086221458875535,0.018790400629437008,-0.00684846236008156,-0.0021049868277468594
pack,0.019210093338823647,0.0276208702708771,-0.017300372569021855,0.0230009342247062,0.0007614597612052159,0.008714822350089968
expecting,-0.0005854632467038396,0.0015973061167855042,-0.007432996466489095,-0.002629683627100188,-0.003966677499864385,0.0015575596365962386
clue,-0.0010165690740962362,-0.003238443875823024,0.001686073481223693,-0.0027128087934973513,0.008048443430886267,0.0017761387437643897
greasy,0.0010325184367514242,-0.001855849934927112,0.002062343728992041,-0.0036076286661215246,0.005205507135263178,0.0015407698940323226
provides,-0.004537773480491816,-0.0014660659543954315,0.004637734850555267,-0.00027063254378294926,-0.008855059668792768,-0.0009188939012146248
pa,0.05896660686794487,0.012663915880409927,0.006725865758128206,0.08215249986345968,0.00619293062762261,-0.0026329085236599286
tasted,0.0021639079342931555,0.005115101277940608,-0.002552304416047873,-0.006370122481709947,0.0022388738113165024,-0.00025837896332448694
cloudy,-0.00940778172758567,0.0010589192463954726,0.011717547774791375,0.00022074459657001912,-0.01386713886604481,-0.00044275026443897755
closin,0.0032067901323204174,-0.007396831067818269,-0.004588233813782665,0.0018617172980129597,-0.007546377845914807,-0.001096178782110004
closet,0.0037460754808031115,-0.008455358304403906,-0.002445542170601308,-0.006026467907017513,-0.005323390103441298,0.0011975503998361647
tame,0.016871779640146207,0.00033604574556950326,0.008203608931018269,-0.0033501356173827744,0.007506461810420494,0.0043484168963369525
tales,-0.004484091634394538,-0.0001201013405004269,0.003163636214349717,0.001140508442800636,0.00033689669699699885,-0.0009346752618985022
tale,0.003249245171620924,0.012347257029052493,-0.009389992118458462,0.0030361254466410473,3.177213768598365e-05,-0.005866359101304466
coincidence,-0.0017168527442455713,-0.005373645096082217,-0.002818348321449181,0.00013281018848823392,-0.0010000441759177088,0.001872723131430511
inspire,0.004410545014007194,-0.016437460614776644,-0.007329698317963034,-0.007550487275289359,-0.01300935104652282,0.0013351457898969849
pan,-0.0029667855241534875,0.004205763331075962,-0.0053671886405765885,-0.0009728540703401191,0.002719239267299361,-0.00044615513495327
colour,-0.0005891861056244898,0.021880173093856196,-0.017525059594472685,-0.011973144310602783,0.001867782726345533,0.003579147027113024
colors,-0.0017168527442455713,-0.005373645096082217,-0.002818348321449181,0.00013281018848823392,-0.0010000441759177088,0.001872723131430511
colored,-0.008968183268789124,-0.00024020268100088683,0.006327272428699423,0.0022810168856012935,0.0006737933939940673,-0.004835581378784628
palace,0.009891419666849297,-0.0006305313757294941,0.01329436236915964,-0.017764105584806355,0.0069442437599346865,-0.0030430846427987775
cologne,0.0010325184367514242,-0.001855849934927112,0.002062343728992041,-0.0036076286661215246,0.005205507135263178,0.0015407698940323226
collided,-0.005173953313233248,0.029539092476644845,-0.03238758843053047,-0.011968053341921591,-0.004585162641482677,-0.009172528335115317
greed,-0.0037659402550932306,-0.006756239036978128,-0.0031946185692175283,0.0010276300611124075,0.0018428921197053796,0.00129131809996778
pair,0.008291431330553095,-0.006226288582709458,-0.003996389146624623,0.008633190630582549,-0.007267211651581511,-0.00107768719617606
collect,0.0037282077716511855,0.0003159806123329795,0.008417134415638848,-0.008759208507314934,0.0022191020806543345,0.0038568894993000645
protection,-0.0036049419334265895,-0.003562510580133299,-0.0008328884097260106,0.006070196284157293,0.008668391984035843,-0.0006632929938312886
pains,0.005416875964834716,-0.0028205086700775267,-0.0018502334065228013,0.006009463648433673,-0.003563814277207431,-0.0006474564381740699
coldplay,0.008166247145831713,0.0006972864910775776,0.00303045864391842,0.002269024793823914,0.0026417370339734576,-0.001377721551418713
tails,0.0037460754808031115,-0.008455358304403906,-0.002445542170601308,-0.006026467907017513,-0.005323390103441298,0.0011975503998361647
intense,-0.0029667855241534875,0.004205763331075962,-0.0053671886405765885,-0.0009728540703401191,0.002719239267299361,-0.00044615513495327
intention,0.011787138441913531,-0.0008344967395393089,0.007611764263860229,-0.010121608949952367,0.007227295616087197,0.0016107040613373327
closest,0.0010325184367514242,-0.001855849934927112,0.002062343728992041,-0.0036076286661215246,0.005205507135263178,0.0015407698940323226
tattoo,0.0004932330882687297,-0.0007973226983414735,-8.034791418931669e-05,0.004280556538908947,0.002982519392789668,0.000649079468961229
owe,-0.0013846179776435322,-0.009364696251268553,-0.0052604263951300245,-0.0006291994956476841,-0.004843024647458439,-0.0029072923074346686
circles,0.023232415466203613,-0.023268047734150473,0.004859907468918499,-0.03532718819189962,-0.0026769064802225086,0.011858529134430393
cinco,-0.005654029444274201,-0.0049451045210291795,-0.0012091586574943481,0.0069650161567814456,0.011511328279658865,0.001871095229560662
cigarettes,0.004114124384350501,-0.0023291059289583527,0.004500957705752455,-0.00811007720486727,0.007568077974903373,-0.0005226275391784111
tempo,0.0028745553657183783,-0.003405779912631931,-0.0021461557401018217,0.0026237269821488777,-0.0037033973743740792,-0.0008889386514148137
sailor,-0.006919095757941463,0.0011423912598950263,0.0067035426764677705,0.0013861970129771196,-0.002169142901629022,0.00034734214011277175
outer,0.008327119829491312,0.004168589289878127,0.002324923537472954,-0.015375019559201432,0.006964015490596888,-0.0011180783049667626
sailed,-0.00025322848010179944,-0.002393745038400833,-0.009875074540169938,-0.003391693311236106,-0.007809657971405114,0.001045456944501857
chrome,-0.0011060650571387666,-0.014701712020349957,-0.006228405832605357,-0.0028023501663671986,-0.017877961484788995,0.004157200967462899
