term_str,n,n_chars,p,i,max_pos,max_pos_group,stem_porter,stop,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
abandon,1,7,4.826813916669885e-06,17.660497360248794,NN,NN,abandon,0,2.584962500721156,0,0,0,1,0,1,0,1,0,0,-1
abandoned,1,9,4.826813916669885e-06,17.660497360248794,JJ,JJ,abandon,0,2.584962500721156,1,0,0,1,0,1,0,1,0,0,-1
abortion,1,8,4.826813916669885e-06,17.660497360248794,NN,NN,abort,0,2.584962500721156,0,0,1,1,0,1,0,1,0,0,-1
absence,2,7,9.65362783333977e-06,16.660497360248794,NN,NN,absenc,0,3.169925001442312,0,0,0,1,0,1,0,1,0,0,-1
abuse,1,5,4.826813916669885e-06,17.660497360248794,NN,NN,abus,0,2.584962500721156,1,0,1,1,0,1,0,1,0,0,-1
abyss,2,5,9.65362783333977e-06,16.660497360248794,NN,NN,abyss,0,3.169925001442312,0,0,0,1,0,1,0,1,0,0,-1
accident,1,8,4.826813916669885e-06,17.660497360248794,NN,NN,accid,0,2.584962500721156,0,0,0,1,0,1,0,1,1,0,-1
accuser,1,7,4.826813916669885e-06,17.660497360248794,NN,NN,accus,0,2.584962500721156,1,0,0,1,0,1,0,0,0,0,-1
ache,3,4,1.4480441750009651e-05,16.07553485952764,NN,NN,ach,0,3.169925001442312,0,0,0,0,0,1,0,1,0,0,-1
aching,7,6,3.378769741668919e-05,14.85314243819119,NN,NN,ach,0,2.3398500028846247,0,0,0,0,0,1,0,1,0,0,-1
acrobat,3,7,1.4480441750009651e-05,16.07553485952764,NN,NN,acrobat,0,2.584962500721156,0,0,0,1,1,0,1,0,0,1,1
admire,1,6,4.826813916669885e-06,17.660497360248794,VBP,VB,admir,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
adore,2,5,9.65362783333977e-06,16.660497360248794,IN,IN,ador,0,2.584962500721156,0,1,0,0,1,0,1,0,0,1,1
advance,1,7,4.826813916669885e-06,17.660497360248794,NN,NN,advanc,0,2.584962500721156,0,1,0,1,1,0,1,0,1,0,1
affection,5,9,2.4134069583349424e-05,15.338569265361432,NN,NN,affect,0,3.169925001442312,0,0,0,0,1,0,1,0,0,1,1
affliction,1,10,4.826813916669885e-06,17.660497360248794,NN,NN,afflict,0,2.584962500721156,0,0,1,1,0,1,0,1,0,0,-1
afraid,18,6,8.688265050005793e-05,13.490572358806483,JJ,JJ,afraid,0,1.315172029168969,0,0,0,1,0,1,0,0,0,0,-1
